  Wavelength(um)   erg/s/cm2/um    W/m2
     1.900          1.684E-14    5.333E-20
     1.930          1.654E-14    5.320E-20
     1.960          1.627E-14    5.314E-20
     1.990          1.602E-14    5.313E-20
     2.020          1.579E-14    5.316E-20
     2.050          1.558E-14    5.323E-20
     2.080          1.538E-14    5.332E-20
     2.110          1.519E-14    5.343E-20
     2.140          1.501E-14    5.354E-20
     2.170          1.484E-14    5.366E-20
     2.200          1.467E-14    5.378E-20
     2.230          1.450E-14    5.390E-20
     2.260          1.434E-14    5.401E-20
     2.290          1.418E-14    5.412E-20
     2.320          1.403E-14    5.424E-20
     2.350          1.389E-14    5.438E-20
     2.380          1.375E-14    5.456E-20
     2.410          1.364E-14    5.479E-20
     2.440          1.355E-14    5.511E-20
     2.470          1.349E-14    5.555E-20
     2.500          1.348E-14    5.615E-20
