  Wavelength(um)   erg/s/cm2/um    W/m2
     2.501          3.366E-14    1.403E-19
     2.625          2.678E-14    1.172E-19
     2.750          2.211E-14    1.013E-19
     2.875          1.880E-14    9.009E-20
     3.000          1.640E-14    8.202E-20
     3.125          1.463E-14    7.619E-20
     3.250          1.329E-14    7.200E-20
     3.375          1.228E-14    6.905E-20
     3.500          1.150E-14    6.707E-20
     3.625          1.090E-14    6.586E-20
     3.750          1.044E-14    6.523E-20
     3.875          1.008E-14    6.507E-20
     4.000          9.786E-15    6.524E-20
     4.125          9.545E-15    6.562E-20
     4.250          9.336E-15    6.613E-20
     4.375          9.145E-15    6.668E-20
     4.500          8.963E-15    6.722E-20
     4.625          8.793E-15    6.778E-20
     4.750          8.645E-15    6.844E-20
     4.875          8.543E-15    6.941E-20
     5.000          8.525E-15    7.104E-20
